sentence,label
Die Geschichte von Eckernförde Die sehr alte Geschichte von Eckernförde Das Gründungs-Jahr von Eckernförde ist nicht bekannt.,1
Es gibt sehr alte Verträge.,1
Diese Verträge nennt man auch Urkunden.,1
In einigen alten Urkunden stehen Namen von Personen.,1
Diese Personen sind aus Eckernförde.,1
Diese sehr alten Urkunden sind ungefähr 800 Jahre alt.,1
Vor vielen Jahren regierte in dänischer König über Eckernförde.,1
Dieser König hieß Waldemar der 2.,1
Dieser König lebte auch vor ungefähr 800 Jahren.,1
König Waldemar der 2.,1
ließ eine Burg bauen.,1
Die Burg hieß Ykernaeburgh.,1
Es gibt noch eine andere alte Urkunde.,1
Diese Urkunde ist über 700 Jahre alt.,1
In dieser Urkunde steht: Eckernförde ist eine Stadt.,1
Die Geschichte von Eckernförde in der Zeit von vor 600 Jahren bis vor etwa 200 Jahren Das sind die Jahre zwischen dem Jahr 1400 und dem Jahr 1800.,1
Die Stadt Eckernförde hat einen Hafen.,1
Seit ungefähr 600 Jahren gibt es den Hafen.,1
Durch den Hafen gab es Handel.,1
Es gab auch Fischfang.,1
Und es gab Schiff-Bau.,1
Es gab damals auch viele Brauereien in Eckernförde.,1
Brauereien stellen Bier her.,1
Vor ungefähr 250 Jahren ging es Eckernförde sehr gut.,1
Dazu sagt man auch: die Stadt hatte eine Blüte-Zeit.,1
Die Kauf-Leute aus Eckernförde hatten viel Geld.,1
Ihnen gehörten Handels-Schiffe.,1
So konnten sie mit Schiffen und Waren Geld verdienen.,1
Schiffs-Besitzer heißen auch Reeder.,1
Eine besonders wichtige Familie war damals: Die Familie Otte.,1
Sie waren erfolgreiche Kaufleute.,1
Sie besaßen viele Handels-Schiffe.,1
Die Familie Otte gründete damals Fabriken.,1
Und sie gründete Fayence-Manufakturen.,1
In Manufakturen arbeiten viele Handwerker zusammen.,1
Fayence spricht man so aus: Fa·jonß.,1
Fayence ist eine Art von Porzellan.,1
Diese Manufaktur gibt es schon lange nicht mehr.,1
Einige Menschen sammeln aber auch heute noch alte Fayence von der Manufaktur Otte.,1
Der Graf von Saint Germain Der Graf von Saint Germain hat bei Eckernförde gelebt.,1
Er hat vor über 200 Jahren gelebt.,1
Er ist eine geheimnisvolle Person.,1
Den Namen spricht man so aus: Sänn Jermäh Der Graf von Saint Germain hat Versuche gemacht.,1
Dabei hat ihm der Land-Graf Carl von Hessen geholfen.,1
Der Land-Graf war der Vertreter vom dänischen König in Schleswig-Holstein.,1
Saint Germain und Carl von Hessen haben Versuche gemacht.,1
Damit haben sie ungefähr ab dem Jahr 1780 angefangen.,1
Sie wollten bestimmte Materialien verwandeln.,1
So sollten wertvollere Materialien entstehen.,1
Solche Versuche heißen auch Alchemie.,1
Sie wollten Gold herstellen.,1
Das haben sie nicht geschafft.,1
Sie haben Alchemie auf dem Gutshof Louisenlund gemacht.,1
Louisenlund war ein sehr großer Bauernhof.,1
Den Hof gibt es noch immer in der Nähe von Eckernförde.,1
Der Graf von Saint Germain hat auch einen Gesundheits-Tee erfunden.,1
Das Rezept ist heute noch bekannt.,1
Der Graf von Saint Germain starb am 27.,1
Februar 1784.,1
Das war vor fast 250 Jahren.,1
Er starb in Eckernförde.,1
Dort wurde er auch begraben.,1
Das Grab war in der Sankt-Nicolai-Kirche.,1
Heute ist das Grab nicht mehr sichtbar.,1
Eckernfördes Geschichte in den letzten 200 Jahren Eckernförde wurde auch ein Bade-Ort.,1
Das Bad wurde im Jahr 1831 gegründet.,1
Das war vor über 150 Jahren.,1
Es war der erste Bade-Ort in diesem Teil vom Land.,1
Die Badestelle war in Borby.,1
Borby ist heute ein Teil von Eckernförde.,1
Immer mehr Reisende und Touristen kamen seitdem nach Eckernförde.,1
Heute sind Touristen sehr wichtig für die Stadt.,1
Ungefähr im Jahr 1900 war die Fischerei sehr wichtig für Eckernförde.,1
Es gab auch viel Fisch-Verarbeitung.,1
Zum Beispiel Fisch-Räuchereien.,1
Fisch war damals der wichtigste Wirtschafts-Zweig.,1
Im Jahr 1912 wurde Eckernförde Garnisons-Standort.,1
Das bedeutet: Soldaten wurden in Eckernförde stationiert.,1
Sie haben dort gelebt.,1
Und sie haben als Soldaten geübt.,1
Dafür wurden besondere Gebäude erbaut.,1
Diese Gebäude heißen Kasernen.,1
Im Jahr 1936 ist die Marine in die Kaserne in Carlshöhe gezogen.,1
Die Soldaten in der Marine arbeiten meist auf Schiffen.,1
Hier können Sie mehr Infos zur Stadt-Geschichte finden: Internetseiten des Museums Eckernförde.,1
Das Eckernförde-Lexikon können Sie im Buch-Laden kaufen.,1
Es gibt auch noch andere Bücher über Eckernförde und seine Geschichte.,1
Diese Bücher sind nicht in Leichter Sprache.,1
Psycho-soziale Prozess-Begleitung in Schleswig-Holstein Wir begleiten Sie!,1
Was ist psycho-soziale Prozess-Begleitung?,1
Eine schwere Straftat ist oft schlimm für Opfer.,1
Oder die Zeugen.,1
Sie denken noch lange daran oder sie haben Angst.,1
Es gibt auch zusätzliche Belastungen nach der Tat.,1
Zum Beispiel eine Straf-Anzeige aufgeben.,1
Oder eine Vernehmung als Zeuge.,1
Oder eine Gerichts-Verhandlung.,1
"Es gibt viele Fragen, Sorgen und Ängste.",1
Dann hilft die psycho-soziale Prozess-Begleitung.,1
"Psycho-Sozial Prozess-Begleitung ist Hilfe: Für die Psyche, die Seele und im Leben.",1
Für Menschen bei einem Straf-Verfahren.,1
Fachleute machen diese Prozess-Begleitung.,1
Sie beantworten zum Beispiel Fragen zum Ablauf des Straf-Verfahrens.,1
Und sie begleiten den verletzten Menschen.,1
Zum Beispiel bei Vernehmungen als Zeugen.,1
Oder zu Gerichts-Verhandlungen.,1
