original,leicht
Der Weihnachtsmarkt-Teil auf dem Hallmarkt ist von der Absage nicht betroffen.,Das bedeutet: Auf dem Hallmarkt können die Menschen trotzdem auf den Weihnachts-Markt gehen.
"Um die Einhaltung der 3G-Regel zu gewährleisten, wäre der Weihnachtsmarkt dann umzäunt.",Wenn die Menschen auf die Weihnachts-Märkte gehen wollen:
"Da der Hallesche Weihnachtsmarkt in diesem Jahr auf mehreren Flächen verteilt stattfindet, sind Kontrollen aber schwierig.",Weil der Weihnachts-Markt dort auf mehreren verschiedenen Plätzen ist.
Der Weihnachtsmarkt der Stadt Halle war in diesem Jahr der wohl kürzeste der Geschichte.,In Halle wurde der Weihnachts-Markt abgesagt.
Einen Tag nach Eröffnung hat die Stadt Halle den Weihnachtsmarkt wieder abgesagt.,In Halle wurde der Weihnachts-Markt abgesagt.
"Nachdem das Land Sachsen-Anhalt am späten Dienstagnachmittag seine 15. Eindämmungsverordnung bekanntgegeben hat, die bereits seit heute Nacht in Kraft ist, muss die Stadt Halle (Saale) den Weihnachtsmarkt schließen.",Halle ist eine Stadt in dem Bundes-Land Sachsen-Anhalt.
Der Weihnachtsmarkt der Stadt Halle war in diesem Jahr der wohl kürzeste der Geschichte.,Aber heute wurde der Weihnachts-Markt in Halle schon wieder abgesagt :
Einen Tag nach Eröffnung hat die Stadt Halle den Weihnachtsmarkt wieder abgesagt.,Aber heute wurde der Weihnachts-Markt in Halle schon wieder abgesagt :
"Nachdem das Land Sachsen-Anhalt am späten Dienstagnachmittag seine 15. Eindämmungsverordnung bekanntgegeben hat, die bereits seit heute Nacht in Kraft ist, muss die Stadt Halle (Saale) den Weihnachtsmarkt schließen.",Aber heute wurde der Weihnachts-Markt in Halle schon wieder abgesagt :
Der Weihnachtsmarkt-Teil auf dem Hallmarkt ist von der Absage nicht betroffen.,Ein Teil vom Weihnachts-Markt in Halle ist auf dem Platz: Hallmarkt.
"Diese sieht vor, dass Weihnachtsmärkte nur unter 3G-Bedingungen stattfinden dürfen, ansonsten drohen Bußgelder.",Aber auch dort müssen sich alle an die 3-G-Regel halten.
"Da auf ein Einzäunen verzichtet wird, werden in der Landeshauptstadt an den Ständen Bändchen verteilt, wenn Besucher ihren Impf- oder Genesungs-Nachweis vorzeigen.",Aber auch dort müssen sich alle an die 3-G-Regel halten.
"Da der Hallesche Weihnachtsmarkt in diesem Jahr auf mehreren Flächen verteilt stattfindet, sind Kontrollen aber schwierig.",Aber das ist in Halle schwierig zu kontrollieren :
"Da auf ein Einzäunen verzichtet wird, werden in der Landeshauptstadt an den Ständen Bändchen verteilt, wenn Besucher ihren Impf- oder Genesungs-Nachweis vorzeigen.",Dann müssen sie sich an die 3-G-Regel halten.
"Laut Stadt ist die neue Corona-Landesverordnung, die seit Mitternacht gilt , Grund für den Stopp.",Weil es jetzt neue Corona-Regeln in Sachsen-Anhalt gibt.
"„Ich hoffe, dass wir das nach der Landtagswahl auch hier in Brandenburg bekommen.“",Und eine Landtags-Wahl ist im Bundesland Brandenburg.
"Dieter Bollmann vertritt Geflüchtete juristisch, damit sie nicht abgeschoben werden.",Mittlerweile hat Dieter Bollmann viele Abschiebungen verhindert.
"Dieter Bollmann vertritt Geflüchtete juristisch, damit sie nicht abgeschoben werden.",Dieter Bollmann hat geholfen.
241 Mandant*innen hat Bollmann inzwischen betreut.,Dieter Bollmann hat geholfen.
"Aber dann seien da eben auch noch die vielen Leute, die helfen.",Viele Menschen helfen Flüchtlingen.
"Beide haben eine Ausbildung zum Elektrofacharbeiter gemacht, der eine geheiratet und ein Kind bekommen.",Und ein Bruder hat eine Familie gegründet.
"Da wären diese zwei Brüder aus Kamerun, die mitten in der Nacht abgeschoben werden sollten.",Sie kommen aus dem afrikanischen Land Kamerun.
Die Brüder sind immer noch in Deutschland.,Die 2 Brüder leben noch in Deutschland.
"Da wären diese zwei Brüder aus Kamerun, die mitten in der Nacht abgeschoben werden sollten.",Der deutsche Staat sagt: Die 2 Brüder sollen Deutschland verlassen.
"Da wären diese zwei Brüder aus Kamerun, die mitten in der Nacht abgeschoben werden sollten.",Sie müssen zurück in ihr Heimat-Land.
Zu dieser Arbeit gekommen ist Bollmann im Februar,"Er wurde vor 4 Jahren gefragt: Herr Bollmann, Sie sind doch Anwalt?"
Angefangen hat er damit erst vor viereinhalb Jahren.,"Er wurde vor 4 Jahren gefragt: Herr Bollmann, Sie sind doch Anwalt?"
"Beide haben eine Ausbildung zum Elektrofacharbeiter gemacht, der eine geheiratet und ein Kind bekommen.",Sie haben eine Ausbildung gemacht.
"Da wären diese zwei Brüder aus Kamerun, die mitten in der Nacht abgeschoben werden sollten.",Sie sollen zurück nach Kamerun.
Ganz einfach war die Beziehung nicht immer.,Das war nicht immer leicht.
"Er sei doch Anwalt, ob er helfen könne?",Früher war er Anwalt.
Angefangen hat er damit erst vor viereinhalb Jahren.,Er wurde vor 4 Jahren gefragt:
„Integration durch Arbeit“ nennt sich die Arbeitsvermittlung der 43-Jährigen.,Außerdem lernen sie bei der Arbeit andere Menschen kennen.
In der Winterpause wollte sie Geflüchteten helfen – das tut sie heute in Vollzeit.,Heute hilft sie Flüchtlingen bei der Arbeits-Suche.
